text	label
这不是用手机拍的吧？	0
哈哈哈吃的津津有味呢！	0
小舌头好可爱啊	0
大自然才是真正的美学大师	0
转发微博	0
大自然才是天然水彩笔	0
这得是什么烂大学啊～	0
或许明年更差呢。。。	0
对很多人来说延毕一年就是多啃父母一年吧	0
这个不算卷！国货护肤品才叫真卷！协和的产品名，标婷的包装瓶！有懂的嘛…	0
这不就跟nba球队摆烂为了状元签一个道理吗 哈哈哈哈哈哈	0
作为孩子正在上小学的父母，哎，费劲巴拉的买学区房，报辅导班，现在也想明白了，出来不还是这样么。。。。	0
现在的大学生天天都研究些什么乱七八糟的	0
今年毕业的现在赶紧去占个工作岗位，最近这30年毕业的大学生大约1亿人现在都在工作呢，在校大学生人数还有4000多万，越等人越多，工作岗位就那几个。	0
要不犯个罪，稳定包吃住学技术走时还能发点钱	0
这截图我一小时能编10张	0
无奇不有	0
这个大学和学生都不靠谱，2022年就业行情不好，明年后年就能好起来嘛？想多了吧	0
摆烂也卷	0
明年可能更……	0
现在什么不卷啊？这是什么社会风气造成的？各行各业都在卷，时刻都在卷，各种形式的卷	0
明年：门卫、环卫、建筑工地都人满为患了	0
@-有话好好说-	0
不知道的还以为你们延毕一年也能参加文班亚马杯呢	0
额😓这也行啊？	0
挂四科还能参加毕业答辩，这也叫内卷……	0
@梁湘	0
都给孩子们逼成啥样了	0
让我们卷起来	0
闻所未闻	0
@祁宏啊	0
延毕干嘛，毕业了回家待一年备考不也行吗	0
无语😒	0
加油	0
这都什么人啊	0
鸟大了什么林子都有	0
这也太	0
这位同学低估了形势，哈哈哈	0
国家也穷 保不准今后公务员也是聘用制 ，在编也可以转合同制，也就一纸发文的事情	0
哈哈哈，真没法儿弄	0
对于这两年疫情来说这是个招，经济不景气，各个公司都裁员，甚至倒闭	0
兴许另一个人是真的不灵	0
本科也敢延毕，出来找工作等着被HR质疑和吊打吧	0
延毕一年，公考面试也没有优势的。何况考试不是你想考就能录取的。	0
都卷成这样了	0
当年我就一科开卷没及格 就延了	0
甲A末年输球进中超	0
段子	0
就业有指标	0
真的假的？	0
这怎么可能，一般的大学，如果挂科四门是没有学位证的，你爱怎么延毕怎么延毕，反正不给你学位证	0
你确定公务员考试要挂科延毕的学生吗？	0
这卷得太快，我有点儿跟不上节奏了~~~	0
我们学校挂7科直接退学	0
立刻扒了辅导员裤子，延毕成功	0
今年延了，明年就能上岸？卷傻了吧	0
挂科延毕，那不是更难找工作了吗？	0
侧面说明经济差就业难	0
这么懒，还考公务员	0
@我闫哉 ？	0
考公这个出路挺真实的，谁不想这辈子过的像大学一样无忧无虑……	0
确实太难了，据说三里屯太古里周末都没什么人了	0
不正常的现象会层出不穷的	0
之前听说政法大学有三分之一的研究生都选择自主延毕为了应对考公压力	0
@Moonpiie·	0
@大舟小禾 笑死	0
今年是最好的一年，以后更困难的，今年找不到明年更别指望了	0
@猩红的葵索索	0
不找工作故意延毕不就是在啃老一年	0
@小熊克克马	0
继续做核酸	0
公务员考试不用毕业证吗？	0
挥霍时间才最可悲	0
@Dan的狮子 啊这	0
有不及格还能参加公考吗？	0
这么大的孩子，没病没灾的，让个屁座啊	0
我在地铁里，凡是看上去走着进车厢的小孩一概不让座。	1
首先，孩子本就需要引导与教育，这种行为99%错在家长不作为。其次，现场没有勇气去劝阻，发在微博上靠大家口嗨也没用。	0
所以为什么要让座	0
能站立的小孩比我都健康 活蹦乱跳的。我才不会让座他们	0
中国式老人带孩子现状：骂不得，说不得，打不得。	0
给猴儿让座	0
怀抱的让，这种	0
白瞎了一片好心	0
这么大的我是不会让的，一般只让走起来还不稳的那种。	0
让座是人家的教养怎么坐是小孩儿他们家的德行	0
就多余给让	0
